,model_name,frame_number,people,error,perc_error
0,faster_rcnn_inception_v2_coco,1.0,3,0,0.0
1,faster_rcnn_inception_v2_coco,2.0,3,0,0.0
2,faster_rcnn_inception_v2_coco,3.0,3,0,0.0
3,faster_rcnn_inception_v2_coco,4.0,3,0,0.0
4,faster_rcnn_inception_v2_coco,5.0,3,0,0.0
5,faster_rcnn_inception_v2_coco,6.0,3,0,0.0
6,faster_rcnn_inception_v2_coco,7.0,3,0,0.0
7,faster_rcnn_inception_v2_coco,8.0,3,0,0.0
8,faster_rcnn_inception_v2_coco,9.0,3,0,0.0
9,faster_rcnn_inception_v2_coco,10.0,3,0,0.0
10,faster_rcnn_inception_v2_coco,11.0,5,2,0.6666666666666666
11,faster_rcnn_inception_v2_coco,12.0,4,1,0.3333333333333333
12,faster_rcnn_inception_v2_coco,13.0,4,1,0.3333333333333333
13,faster_rcnn_inception_v2_coco,14.0,4,1,0.3333333333333333
14,faster_rcnn_inception_v2_coco,15.0,4,1,0.3333333333333333
15,faster_rcnn_inception_v2_coco,16.0,4,1,0.3333333333333333
16,faster_rcnn_inception_v2_coco,17.0,4,0,0.0
17,faster_rcnn_inception_v2_coco,18.0,5,1,0.25
18,faster_rcnn_inception_v2_coco,19.0,5,1,0.25
19,faster_rcnn_inception_v2_coco,20.0,4,0,0.0
20,faster_rcnn_inception_v2_coco,21.0,4,0,0.0
21,faster_rcnn_inception_v2_coco,22.0,4,1,0.2
22,faster_rcnn_inception_v2_coco,23.0,5,0,0.0
23,faster_rcnn_inception_v2_coco,24.0,5,0,0.0
24,faster_rcnn_inception_v2_coco,25.0,5,0,0.0
25,faster_rcnn_inception_v2_coco,26.0,5,0,0.0
26,faster_rcnn_inception_v2_coco,27.0,4,1,0.2
27,faster_rcnn_inception_v2_coco,28.0,4,1,0.2
28,faster_rcnn_inception_v2_coco,29.0,4,1,0.2
29,faster_rcnn_inception_v2_coco,30.0,4,1,0.2
30,faster_rcnn_inception_v2_coco,31.0,4,1,0.2
31,faster_rcnn_inception_v2_coco,32.0,4,1,0.2
32,faster_rcnn_inception_v2_coco,33.0,5,0,0.0
33,faster_rcnn_inception_v2_coco,34.0,4,1,0.2
34,faster_rcnn_inception_v2_coco,35.0,3,2,0.4
35,faster_rcnn_inception_v2_coco,36.0,5,0,0.0
36,faster_rcnn_inception_v2_coco,37.0,8,3,0.6
37,faster_rcnn_inception_v2_coco,38.0,7,2,0.4
38,faster_rcnn_inception_v2_coco,39.0,7,2,0.4
39,faster_rcnn_inception_v2_coco,40.0,7,2,0.4
40,faster_rcnn_inception_v2_coco,41.0,7,1,0.16666666666666666
41,faster_rcnn_inception_v2_coco,42.0,8,2,0.3333333333333333
42,faster_rcnn_inception_v2_coco,43.0,6,0,0.0
43,faster_rcnn_inception_v2_coco,44.0,6,0,0.0
44,faster_rcnn_inception_v2_coco,45.0,6,0,0.0
45,faster_rcnn_inception_v2_coco,46.0,6,0,0.0
46,faster_rcnn_inception_v2_coco,47.0,6,0,0.0
47,faster_rcnn_inception_v2_coco,48.0,6,0,0.0
48,faster_rcnn_inception_v2_coco,49.0,6,0,0.0
49,faster_rcnn_inception_v2_coco,50.0,6,0,0.0
50,faster_rcnn_inception_v2_coco,51.0,6,0,0.0
51,faster_rcnn_inception_v2_coco,52.0,5,1,0.16666666666666666
52,faster_rcnn_inception_v2_coco,53.0,5,1,0.16666666666666666
53,faster_rcnn_inception_v2_coco,54.0,5,1,0.16666666666666666
54,faster_rcnn_inception_v2_coco,55.0,6,0,0.0
55,faster_rcnn_inception_v2_coco,56.0,6,0,0.0
56,faster_rcnn_inception_v2_coco,57.0,6,0,0.0
57,faster_rcnn_inception_v2_coco,58.0,6,0,0.0
58,faster_rcnn_inception_v2_coco,59.0,5,1,0.16666666666666666
59,faster_rcnn_inception_v2_coco,60.0,5,1,0.16666666666666666
60,faster_rcnn_inception_v2_coco,61.0,5,1,0.16666666666666666
61,faster_rcnn_inception_v2_coco,62.0,6,0,0.0
62,faster_rcnn_inception_v2_coco,63.0,6,0,0.0
63,faster_rcnn_inception_v2_coco,64.0,7,1,0.16666666666666666
64,faster_rcnn_inception_v2_coco,65.0,6,0,0.0
65,faster_rcnn_inception_v2_coco,66.0,6,0,0.0
66,faster_rcnn_inception_v2_coco,67.0,6,0,0.0
67,faster_rcnn_inception_v2_coco,68.0,6,0,0.0
